Variable,OR,p_value,AUC,Datakilde
Hudl_Points_Per_Game,5.333527420767847e-42,3.1078473128332007e-12,1,Hudl
Hudl_Kampe_Spillet,0.17754303342686098,7.677922186921649e-9,0.9741161616161615,Hudl
Alder_2024,0.1809523809524222,0.03183282899184825,0.7001262626262627,Demografisk
BMI,0.02532530337438896,0.0781129580672224,0.78219696969697,Demografisk
N_Declines,1.2198746580419446,0.7286733037617588,0.5347222222222222,Fysio
